OTU,superkingdom,phylum,class,order,family,genus,species,speciesOTU,Comments_bob
OTU1,Eukaryota,Streptophyta,Magnoliopsida,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class_1,
OTU2,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Araliaceae family,Araliaceae family,Araliaceae family_2,
OTU3,Eukaryota,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Arecaceae family,Arecaceae family,Arecaceae family_3,
OTU4,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Urticaceae,Cecropia,Cecropia schreberiana,Cecropia schreberiana_4,
OTU5,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus genus,Ficus genus_5,
OTU6,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Meliaceae,Meliaceae family,Meliaceae family,Meliaceae family_6,
OTU7,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Burseraceae,Dacryodes,Dacryodes excelsa,Dacryodes excelsa_7,
OTU8,Eukaryota,Streptophyta,Magnoliopsida,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class_8,
OTU9,Eukaryota,Streptophyta,Magnoliopsida,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class_9,
OTU10,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia tetraphylla,Terminalia tetraphylla_10,Probably synonym for BUCTET
OTU11,Eukaryota,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Ocotea,Ocotea genus,Ocotea genus_11,
OTU12,Eukaryota,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Beilschmiedia,Beilschmiedia pendula,Beilschmiedia pendula_12,
OTU13,Eukaryota,Streptophyta,Magnoliopsida,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class_13,
OTU15,Eukaryota,Streptophyta,Magnoliopsida,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class_14,
OTU16,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Casearia,Casearia arborea,Casearia arborea_15,
OTU17,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga vera,Inga vera_16,
OTU18,Eukaryota,Streptophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper glabrescens,Piper glabrescens_17,
