"","rep","plate","sample","sampletype","full","totseq","OTUs"
"E10K2_P1r1","1","P1","E10K2","ExtractBlank","E10K2_P1r1",149,5
"E10K2_P1r3","3","P1","E10K2","ExtractBlank","E10K2_P1r3",12,3
"E10K2_P1r4","4","P1","E10K2","ExtractBlank","E10K2_P1r4",17,3
"E11K3_P1r1","1","P1","E11K3","ExtractBlank","E11K3_P1r1",9,1
"E11K3_P1r3","3","P1","E11K3","ExtractBlank","E11K3_P1r3",216,2
"E11K3_P1r4","4","P1","E11K3","ExtractBlank","E11K3_P1r4",5,1
"E12K4_P1r1","1","P1","E12K4","ExtractBlank","E12K4_P1r1",14,1
"E12K4_P1r3","3","P1","E12K4","ExtractBlank","E12K4_P1r3",23,1
"E12K4_P1r4","4","P1","E12K4","ExtractBlank","E12K4_P1r4",4,1
"E13K5_P1r1","1","P1","E13K5","ExtractBlank","E13K5_P1r1",46,4
"E13K5_P1r3","3","P1","E13K5","ExtractBlank","E13K5_P1r3",579,2
"E13K5_P1r4","4","P1","E13K5","ExtractBlank","E13K5_P1r4",7,1
"E14K6_P1r1","1","P1","E14K6","ExtractBlank","E14K6_P1r1",156,3
"E14K6_P1r3","3","P1","E14K6","ExtractBlank","E14K6_P1r3",53,2
"E14K6_P1r4","4","P1","E14K6","ExtractBlank","E14K6_P1r4",18,1
"E15K7_P1r1","1","P1","E15K7","ExtractBlank","E15K7_P1r1",10,1
"E15K7_P1r3","3","P1","E15K7","ExtractBlank","E15K7_P1r3",0,0
"E15K7_P1r4","4","P1","E15K7","ExtractBlank","E15K7_P1r4",125,1
"E16K8_P1r1","1","P1","E16K8","ExtractBlank","E16K8_P1r1",0,0
"E16K8_P1r3","3","P1","E16K8","ExtractBlank","E16K8_P1r3",5,1
"E16K8_P1r4","4","P1","E16K8","ExtractBlank","E16K8_P1r4",1,1
"E1K1_P1r1","1","P1","E1K1","ExtractBlank","E1K1_P1r1",7,1
"E1K1_P1r3","3","P1","E1K1","ExtractBlank","E1K1_P1r3",0,0
"E1K1_P1r4","4","P1","E1K1","ExtractBlank","E1K1_P1r4",0,0
"E2K2_P1r1","1","P1","E2K2","ExtractBlank","E2K2_P1r1",0,0
"E2K2_P1r4","4","P1","E2K2","ExtractBlank","E2K2_P1r4",0,0
"E3K3_P1r1","1","P1","E3K3","ExtractBlank","E3K3_P1r1",0,0
"E3K3_P1r3","3","P1","E3K3","ExtractBlank","E3K3_P1r3",0,0
"E3K3_P1r4","4","P1","E3K3","ExtractBlank","E3K3_P1r4",1,1
"E4K4_P1r1","1","P1","E4K4","ExtractBlank","E4K4_P1r1",3,1
"E4K4_P1r3","3","P1","E4K4","ExtractBlank","E4K4_P1r3",4,1
"E4K4_P1r4","4","P1","E4K4","ExtractBlank","E4K4_P1r4",0,0
"E5K5_P1r1","1","P1","E5K5","ExtractBlank","E5K5_P1r1",1,1
"E5K5_P1r4","4","P1","E5K5","ExtractBlank","E5K5_P1r4",1,1
"E6K6_P1r1","1","P1","E6K6","ExtractBlank","E6K6_P1r1",3,1
"E6K6_P1r4","4","P1","E6K6","ExtractBlank","E6K6_P1r4",0,0
"E7K7_P1r1","1","P1","E7K7","ExtractBlank","E7K7_P1r1",17,1
"E7K7_P1r3","3","P1","E7K7","ExtractBlank","E7K7_P1r3",1,1
"E7K7_P1r4","4","P1","E7K7","ExtractBlank","E7K7_P1r4",0,0
"E8K8_P1r1","1","P1","E8K8","ExtractBlank","E8K8_P1r1",1,1
"E8K8_P1r3","3","P1","E8K8","ExtractBlank","E8K8_P1r3",1,1
"E8K8_P1r4","4","P1","E8K8","ExtractBlank","E8K8_P1r4",1,1
"E9K1_P1r1","1","P1","E9K1","ExtractBlank","E9K1_P1r1",18,2
"E9K1_P1r3","3","P1","E9K1","ExtractBlank","E9K1_P1r3",4,1
"E9K1_P1r4","4","P1","E9K1","ExtractBlank","E9K1_P1r4",56,2
"N1_P1r1","1","P1","N1","NTC","N1_P1r1",18,1
"N1_P1r3","3","P1","N1","NTC","N1_P1r3",17,2
"N1_P1r4","4","P1","N1","NTC","N1_P1r4",6,1
"N2_P1r1","1","P1","N2","NTC","N2_P1r1",0,0
"N2_P1r3","3","P1","N2","NTC","N2_P1r3",15,1
"N2_P1r4","4","P1","N2","NTC","N2_P1r4",4,1
"N3_P1r1","1","P1","N3","NTC","N3_P1r1",11,2
"N3_P1r3","3","P1","N3","NTC","N3_P1r3",0,0
"N3_P1r4","4","P1","N3","NTC","N3_P1r4",742,4
"N4_P1r1","1","P1","N4","NTC","N4_P1r1",6,1
"N4_P1r3","3","P1","N4","NTC","N4_P1r3",0,0
"N4_P1r4","4","P1","N4","NTC","N4_P1r4",187,1
"P1100_P1r1","1","P1","P1100","Positive","P1100_P1r1",101758,6
"P1100_P1r3","3","P1","P1100","Positive","P1100_P1r3",100628,7
"P1100_P1r4","4","P1","P1100","Positive","P1100_P1r4",172999,9
"P2100_P1r1","1","P1","P2100","Positive","P2100_P1r1",93965,8
"P2100_P1r3","3","P1","P2100","Positive","P2100_P1r3",36444,5
"P2100_P1r4","4","P1","P2100","Positive","P2100_P1r4",55692,6
"P31000_P1r1","1","P1","P31000","Positive","P31000_P1r1",300202,18
"P31000_P1r3","3","P1","P31000","Positive","P31000_P1r3",375701,18
"P31000_P1r4","4","P1","P31000","Positive","P31000_P1r4",253938,13
"P41000_P1r1","1","P1","P41000","Positive","P41000_P1r1",232525,14
"P41000_P1r3","3","P1","P41000","Positive","P41000_P1r3",232894,17
"P41000_P1r4","4","P1","P41000","Positive","P41000_P1r4",234483,15
"C10_P1r1","1","P1","C10","Sample","C10_P1r1",50368,19
"C10_P1r3","3","P1","C10","Sample","C10_P1r3",11737,17
"C10_P1r4","4","P1","C10","Sample","C10_P1r4",11012,15
"C12_P1r1","1","P1","C12","Sample","C12_P1r1",83002,11
"C12_P1r3","3","P1","C12","Sample","C12_P1r3",10921,10
"C12_P1r4","4","P1","C12","Sample","C12_P1r4",9222,7
"C121_P1r1","1","P1","C121","Sample","C121_P1r1",128645,12
"C121_P1r3","3","P1","C121","Sample","C121_P1r3",42712,14
"C121_P1r4","4","P1","C121","Sample","C121_P1r4",18212,10
"C122150_P1r1","1","P1","C122150","Sample","C122150_P1r1",31278,5
"C122150_P1r3","3","P1","C122150","Sample","C122150_P1r3",29030,9
"C122150_P1r4","4","P1","C122150","Sample","C122150_P1r4",27968,6
