Sample ID,PX,PY
s1,25.6049,479.0658
s2,25.6049,479.0658
s3,25.6049,479.0658
s4,25.6049,479.0658
s5,25.6049,479.0658
s6,25.6049,479.0658
s7,25.6049,479.0658
s8,40,460
s9,100,460
s10,160,460
s11,220,460
s12,280,460
s13,280,400
s14,220,400
s15,160,400
s16,160,400
s17,160,400
s18,160,400
s19,100,400
s20,40,400
s21,40,360
s22,100,360
s23,100,360
s24,100,360
s25,100,360
s26,160,360
s27,220,360
s28,280,360
s29,280,280
s30,220,280
s31,160,280
s32,160,280
s33,160,280
s34,160,280
s35,100,280
s36,40,280
s37,40,220
s38,100,220
s39,160,220
s40,220,220
s41,280,220
s42,280,160
s43,220,160
s44,160,160
s45,100,160
s46,40,160
s47,40,100
s48,100,100
s49,160,100
s50,220,100
s51,280,100
s52,280,40
s53,220,40
s54,160,40
s55,100,40
s56,40,40
s57,40,40
s58,40,40
s59,40,40
s60,40,40
s61,40,40
s62,40,40
s63,40,40
s64,40,40
s65,40,40
s66,100,40
s67,100,40
s68,100,40
s69,100,40
s70,100,40
s71,100,40
s72,100,40
s73,100,40
s74,100,40
s75,139,261
s76,140,261
s77,141,261
s78,139,260
s79,140,260
s80,139.95,260.05
s81,140.05,260.05
s82,139.95,259.95
s83,140.05,259.95
s84,141,260
s85,139,259
s86,140,259
s87,141,259
r1,239.55345,376.283153
r2,244.898099,46.3534594
r3,88.673488,364.334937
r4,219.30743,246.531324
r5,174.018925,229.588442
r6,144.583028,29.3354747
r7,196.781196,252.719117
r8,52.3199833,322.356993
r9,177.67815,119.000396
r10,189.215548,360.989466
r11,129.858026,197.019037
r12,192.58694,257.262431
r13,244.321339,83.71013
r14,81.302918,101.812823
r15,130.950277,90.048875
r16,245.603485,370.74602
r17,254.774343,66.6529277
r18,48.1969668,132.589445
r19,133.9993,355.362008
r20,154.479859,145.550351
r21,236.967533,384.378876
r22,53.2904403,36.5577638
r23,257.334015,162.725874
r24,247.200376,150.03036
r25,39.7850139,74.3705479
r26,143.410828,177.010484
r27,113.648832,215.285564
r28,237.377151,39.5754393
r29,127.272711,434.756804
r30,220.641022,401.549979
r31,197.022948,431.343862
r32,214.653234,91.59833
r33,113.145988,37.9484371
r34,184.440735,79.9895929
r35,20.9476013,171.443953
r36,219.899859,248.656631
r37,21.7601953,413.70658
r38,69.8381535,286.930524
r39,237.584338,223.593543
r40,166.826874,56.0764156
r41,111.094218,416.863539
r42,124.58518,165.619784
r43,28.9834479,175.125414
r44,253.649579,282.142472
r45,123.6203,325.510447
r46,249.818383,103.129806
r47,233.061177,267.260384
r48,173.594905,374.01681
r49,253.031986,439.739194
r50,168.52117,24.8040647
r51,100.022531,364.959377
r52,103.21958,106.362007
r53,115.636499,67.7980375
r54,208.326266,308.995979
r55,29.3447579,134.643754
r56,199.710893,365.731349
r57,182.546439,290.646489
r58,61.1034393,241.718958
r59,82.661111,32.0334066
r60,143.459104,140.611416
r61,182.145746,34.945082
r62,255.876128,397.104541
r63,202.290624,75.0069533
r64,155.957222,41.6065173
r65,223.925532,172.85754
r66,65.4737445,312.101929
r67,85.108788,394.769835
r68,218.758036,122.596002
r69,186.369157,184.625887
r70,77.7307375,280.465061
r71,30.317311,257.08873
r72,53.7149826,37.3886599
r73,71.9324996,219.182264
r74,135.055655,418.666198
r75,67.3784821,120.939165
r76,192.645401,304.819515
r77,21.8923373,403.641517
r78,110.117592,39.144241
r79,143.45785,77.2993951
r80,20.376933,62.1487779
r81,159.584961,192.054938
r82,57.89725,427.378095
r83,106.166793,172.873553
r84,174.951651,324.458594
r85,206.197607,315.12625
r86,155.275242,30.4221321
r87,76.0888157,417.319387
r88,41.5953239,244.066434
r89,40.5468956,312.44985
r90,93.252409,39.0081511
r91,180.182364,404.96
r92,20.0573352,33.7945728
r93,70.0567897,346.464841
r94,243.928191,240.979546
r95,242.15474,131.771191
r96,196.182632,232.073153
r97,99.937276,243.648008
r98,143.615199,56.4854994
r99,198.553915,404.552601
r100,168.598218,256.88347
r101,170.298883,44.876821
r102,72.1178476,302.544792
r103,71.9761546,283.475525
r104,113.346807,50.5992764
r105,246.189366,203.836123
r106,251.025923,289.447113
r107,197.565267,360.187185
r108,195.979017,184.536248
r109,148.58271,344.837579
r110,20.5455119,386.825953
r111,166.144989,279.691509
r112,220.832374,170.248357
r113,200.365415,411.547806
r114,128.655577,332.786304
r115,148.589599,46.6985565
r116,148.970407,65.4454732
r117,20.3314025,363.886714
r118,105.359829,353.092314
r119,166.911942,43.9849552
r120,218.946111,401.200659
r121,105.61328,323.088218
r122,118.55243,399.136938
r123,157.634216,244.999991
r124,161.522793,166.386521
r125,192.71775,369.983219
r126,114.793531,351.938176
r127,240.608943,243.191805
r128,251.01687,347.061968
r129,76.0456461,44.5107576
r130,193.879424,212.406379
r131,236.872286,29.3790369
r132,164.83378,330.753427
r133,171.561752,316.409576
r134,244.972604,22.3968014
r135,224.11586,217.716352
r136,159.157016,270.392476
r137,217.136942,139.277309
r138,47.2924662,43.192102
r139,203.481862,178.707202
r140,169.66723,242.69403
r141,55.6271856,125.410789
r142,39.263472,416.516327
r143,131.376692,203.745074
r144,207.048359,314.448059
r145,196.04671,93.856115
r146,216.135307,121.629426
r147,60.8389955,29.9469368
r148,246.732878,158.08384
r149,90.469722,193.498399
r150,55.7772926,65.6769134
r151,192.650862,377.861949
r152,97.780629,23.8051742
r153,206.91428,427.300682
r154,114.66584,357.951611
r155,182.862288,230.436682
r156,206.19801,412.355238
r157,65.0885706,216.497934
r158,26.9805965,234.610254
r159,52.5713113,369.533155
r160,183.239403,87.472831
r161,244.357509,238.97184
r162,152.11858,202.098033
r163,164.423897,159.363595
r164,67.2786772,208.169975
r165,148.456787,37.2902913
r166,63.0933774,122.212901
r167,128.452759,63.3312555
r168,96.092804,172.514998
r169,47.8819209,296.251654
r170,64.6645176,198.516656
r171,195.135223,50.32089
r172,118.849297,308.5993
r173,119.371924,378.170132
r174,135.274431,384.231372
r175,122.598672,57.414381
r176,52.7576864,25.4760076
r177,217.923058,197.767549
r178,162.153018,428.768549
r179,210.655275,229.608597
r180,204.567782,437.754094
r181,240.33354,227.850365
r182,227.031146,71.6749526
r183,96.074057,255.36202
r184,82.222538,120.502861
r185,198.143948,324.605222
r186,199.366668,350.131506
r187,240.296968,208.908392
r188,210.36589,217.013566
r189,51.9991084,188.78121
r190,89.059941,398.997715
r191,66.7222745,256.749132
r192,208.186252,310.218604
r193,50.9293188,159.55518
r194,50.981428,59.8429246
r195,37.3407467,413.919606
r196,32.751076,301.828007
r197,147.649865,26.2975185
r198,46.953978,67.5077827
r199,198.365053,376.07216
r200,195.515715,207.664166
r201,232.428245,188.789764
r202,144.106653,201.529965
r203,224.463436,298.713854
r204,126.271104,96.595117
r205,57.8912241,372.102279
r206,126.157913,405.29665
r207,252.25608,355.286447
r208,136.301103,231.283638
r209,80.590025,126.872989
r210,82.325595,300.243083
r211,150.083826,415.261737
r212,175.970201,431.919632
r213,100.740592,41.964855
r214,34.6279391,180.609899
r215,128.314604,358.594586
r216,221.301208,250.112834
r217,157.91296,147.875099
r218,104.804091,188.968027
r219,151.382259,31.5902303
r220,234.252463,376.577349
r221,137.597737,33.0341551
r222,61.1917072,293.962569
r223,150.327439,270.673264
r224,250.752247,151.296636
r225,95.284117,434.502242
r226,216.923492,368.149314
r227,93.693056,275.241531
r228,64.5088595,78.007307
r229,31.6032264,385.789408
r230,78.9617953,262.376852
r231,104.265661,355.65248
r232,58.1653716,31.8424066
r233,92.983519,127.670251
r234,24.2115979,337.842104
r235,259.172643,368.578288
r236,213.054395,239.959144
r237,40.7793444,287.933788
r238,228.783985,224.920354
r239,153.100607,264.372211
r240,121.130821,62.1554095
r241,36.2328366,373.477867
r242,154.74511,189.047427
r243,36.9732546,344.493938
r244,70.7340653,419.612297
r245,151.908899,131.496972
r246,135.675548,368.304949
r247,58.2727651,294.537659
r248,55.8989588,355.376334
r249,139.825491,98.183611
r250,245.735571,336.977181
r251,100.215518,329.086555
r252,65.2242391,335.750014
r253,84.731883,159.698083
r254,147.378579,44.1704222
r255,25.1480548,303.254488
r256,211.702474,37.4594727
r257,46.4804241,290.296473
r258,149.551589,145.833893
r259,157.096135,185.241054
r260,168.548371,407.87179
r261,191.564886,305.271473
r262,49.5921389,321.369449
r263,94.651909,321.197381
r264,246.977399,115.832265
r265,140.006022,191.685055
r266,52.4553198,259.867864
r267,228.621877,389.369063
r268,69.2119069,269.764771
r269,242.011014,405.620961
r270,232.820864,167.581165
r271,52.7109981,126.675131
r272,208.483866,319.92685
r273,128.792819,111.757605
r274,52.5781807,206.213574
r275,232.453049,312.409326
r276,100.81125,302.87174
r277,96.625788,95.826453
r278,116.907876,327.332974
r279,134.978554,157.156453
r280,108.296437,168.018328
r281,131.765736,351.377137
r282,31.9741167,173.105569
r283,64.9656108,138.927593
r284,255.838259,129.46023
r285,98.785777,31.3063061
r286,61.0391337,295.642932
r287,137.181175,333.647559
r288,24.4849788,285.081113
r289,101.47642,42.8976018
r290,27.1192101,241.459643
r291,228.134879,56.8644394
r292,195.609824,133.520762
r293,95.662591,20.5344618
r294,112.748963,316.736026
r295,99.787038,354.77375
r296,41.5467131,76.4030079
r297,201.693345,271.634801
r298,164.712439,170.869749
r299,54.8959934,304.787115
r300,27.804196,173.69063
r301,136.104354,356.372358
r302,126.696687,434.552716
r303,34.4925416,222.969495
r304,98.601445,53.0546234
r305,230.822971,76.4711238
r306,243.345173,395.620951
r307,114.12283,319.689565
r308,58.123226,387.150241
r309,96.787424,399.585446
r310,93.671749,220.465983
r311,45.8747011,48.0470059
r312,255.040233,322.349199
r313,139.256823,134.210191
r314,42.3379213,157.163746
r315,70.825678,181.720843
r316,243.320179,158.898031
r317,91.243138,61.4037321
r318,176.77238,264.095086
r319,236.256915,337.600675
r320,257.79099,237.141743
r321,123.279973,135.300834
r322,114.506461,206.739466
r323,54.0581349,396.154637
r324,87.153607,406.938682
r325,155.557333,238.961297
r326,244.433481,341.662455
r327,106.016035,342.023039
r328,222.081723,372.056473
r329,193.378211,415.11487
r330,200.176637,197.569889
r331,241.757229,273.989073
r332,20.5707456,112.483086
r333,58.5031796,380.863458
r334,115.825508,409.630964
r335,182.076699,265.044171
r336,135.289284,296.714873
r337,148.118907,47.4295579
r338,96.068038,122.709977
r339,215.541822,233.753312
r340,90.132685,236.276131
r341,118.191702,340.738605
r342,41.8203938,132.497636
r343,211.663193,308.851182
r344,106.34846,254.244728
r345,29.7170184,201.010174
r346,29.8607216,381.584319
r347,249.064217,66.9010218
r348,109.601899,152.848118
r349,213.54072,331.215507
r350,238.414162,249.577035
r351,125.618291,95.47983
r352,158.320761,306.283852
r353,37.6802708,64.2331826
r354,59.5105747,141.204814
r355,197.573786,324.102726
r356,134.170643,39.0642864
r357,184.525029,65.7057451
r358,248.363586,195.403763
r359,139.391477,270.540796
r360,132.92015,102.826364
r361,154.446068,230.464494
r362,176.602429,366.383171
r363,87.09764,58.6628572
r364,255.177821,217.571793
r365,174.527386,389.994595
r366,159.818825,203.006052
r367,167.809046,136.195449
r368,242.033671,43.9965288
r369,113.605495,391.668971
r370,89.100724,82.111884
r371,41.7766315,153.300223
r372,97.288137,305.858713
r373,201.984827,138.703064
r374,45.0591031,198.391687
r375,190.466685,224.768752
r376,251.954572,121.394561
r377,68.3578943,171.26314
r378,46.0372771,49.044979
r379,33.2965229,171.491997
r380,219.133644,432.851246
r381,159.487462,99.826433
r382,132.82217,386.194801
r383,107.603389,67.2855245
r384,87.229911,101.517317
r385,163.931805,326.665764
r386,216.456707,133.504118
r387,43.4797473,108.226378
r388,251.285486,264.664386
r389,60.4967464,55.4228461
r390,40.6600174,218.200457
r391,226.690567,148.427601
