"Search query: ""eDNA"" or ""metabarcoding"""
Year,Count
2024,551
2023,1193
2022,1139
2021,1073
2020,758
2019,626
2018,524
2017,372
2016,268
2015,211
2014,126
2013,83
2012,56
2011,56
2010,48
2009,32
2008,16
2007,9
2006,17
2005,19
2004,21
2003,10
2002,13
2001,12
2000,14
1999,10
1998,13
1997,8
1996,5
1995,1
1994,4
1993,4
1992,6
1991,5
1990,3
1989,4
1988,3
1987,4
1986,3
1985,1
1984,5
1983,8
1982,3
1981,4
1980,6
1979,5
1978,3
1977,4
1976,5
1975,1
1974,1
1973,2
1972,4
1971,3
1970,1
1969,2
1968,2
1965,3
1964,1
1963,3
1961,1
1958,2
1957,1
1956,5
1955,6
1954,2
1952,2
1951,1
1950,2
