"dataset","npts","no_gotu_dna","no_gotu_stem","mdna","sddna","mindna","maxdna","m5","sd5","min5","max5","m100","sd100","min100","max100","rank_corr_est","rank_corr_p","ba_corr_est","ba_corr_p","log_p"
"lenient_10k",38,52,78,11.842,4.841,2,22,10.684,3.146,4,17,63.421,2.5,57,68,0.687,0,0.623,0,0
"lenient_200k",10,40,78,15.8,3.521,11,22,10.7,3.129,5,16,63.6,3.062,57,68,0.637,0,0.532,0,0
"lenient_40k",28,47,78,13.179,4.691,2,22,10.893,3.213,4,17,63.321,2.374,57,68,0.703,0,0.581,0,0
"lenient_70k",21,44,78,14.19,4.238,6,22,10.476,3.043,4,16,63.571,2.336,57,68,0.672,0,0.564,0,0
"lenientf1",38,45,78,8.579,2.974,1,14,10.684,3.146,4,17,63.421,2.5,57,68,0.658,0,0.707,0,0
"rare_lenient_10k",38,46,78,9.368,3.381,1,14,10.684,3.146,4,17,63.421,2.5,57,68,0.676,0,0.683,0,0
"rare_lenient_200k",10,40,78,15.3,3.592,10,21,10.7,3.129,5,16,63.6,3.062,57,68,0.636,0,0.542,0,0
"rare_lenient_40k",28,46,78,11.964,3.687,2,19,10.893,3.213,4,17,63.321,2.374,57,68,0.719,0,0.596,0,0
"rare_lenient_70k",21,44,78,12.714,3.466,6,20,10.476,3.043,4,16,63.571,2.336,57,68,0.675,0,0.575,0,0
"rare_repfiltered",38,30,78,7.105,2.491,1,13,10.684,3.146,4,17,63.421,2.5,57,68,0.505,0,0.712,0,0
"repfiltered",38,30,78,7.5,2.993,1,15,10.684,3.146,4,17,63.421,2.5,57,68,0.509,0,0.696,0,0
"repfilteredf1",38,30,78,7.105,2.469,1,13,10.684,3.146,4,17,63.421,2.5,57,68,0.505,0,0.711,0,0
